experiment_id,version,date,git_commit,baseline_commit,dataset,protocol,seed,multi_seed_group,baseline_comparator,baseline_variance,stage1_change,stage2_change,hypothesis,status,completed,rank1_all,map_all,minp_all,rank1_indoor,map_indoor,minp_indoor,best_epoch,final_epoch,contract_path,preflight_output_path,gate_output_path,log_path,summary_path,parser_command,parser_version,monitor_status,monitor_log_path,monitor_exit_status,monitor_started_at,monitor_completed_at,monitor_error_detected,monitor_parsed_summary,checkpoint_path,model_best_path,stage1_best_path,checkpoint_hashes,stage1_checkpoint_source,full_state_restore,optimizer_state,scheduler_state,evidence_grade,reviewer,decision,notes
baseline_sysu_ori_test2,baseline,2026-03-16,UNVERIFIED_LOCAL_COPY_REMOTE_HEAD_2bb095050aba41cb252ca7d3a607283034f3cb23,SELF,SYSU-MM01,full-chain all-search+indoor 10-trial average,UNKNOWN,baseline_ori_test2,self,UNVERIFIED_single_run,original SDCL reproduction,original SDCL reproduction,trusted reproduction anchor,completed,yes,65.55,63.41,50.38,71.12,76.58,73.12,38,49,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,logs-part1/sysu_train_ori_test2/log.txt,logs-part1/sysu_train_ori_test2/summary.md,python scripts/parse_sysu_log.py /mnt/data/lhp/SDCL2/logs-part1/sysu_train_ori_test2/log.txt > /mnt/data/lhp/SDCL2/logs-part1/sysu_train_ori_test2/summary.md,scripts/parse_sysu_log.py current 2026-07-06,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,UNKNOWN,UNKNOWN,UNVERIFIED_legacy_run,yes_manual_2026-07-06,logs-part1/sysu_train_ori_test2/checkpoint.pth.tar,logs-part1/sysu_train_ori_test2/model_best.pth.tar,logs-part1/sysu_train_ori_test2/20model_best.pth.tar,checkpoint=b1dc67e036fdc2c1bad5beb6715a0b93daffa4ee0b942b1f1ddccff3a91ea55e;model_best=0eb64daa69ca9eb993fdf722654c21eca6d3c1ecef73335813eb5f615ed6fb9b;20model_best=39dcea0bebf2f8de1583078c4462528796962fb0a3dc64db1af199f835c8fdcd;log=57ff8ede3c345613421af8170ed4054114155e58e8b443b927615fc3992f9c7b,logs-part1/sysu_train_ori_test2/20model_best.pth.tar,no_legacy_model_only_handoff,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,raw-log+checkpoint-hash,infrastructure_update_2026-07-06,baseline_anchor,actual reproduction-best directory provided by user on 2026-07-06
v16_unknown,v16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
v17_unknown,v17,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
v18_cm_triplet,v18,UNKNOWN,UNKNOWN,UNKNOWN,SYSU,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,CM-triplet family,UNKNOWN,archived,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reject,notes only
v19_xmb_tba,v19,UNKNOWN,UNKNOWN,UNKNOWN,SYSU,UNKNOWN,seed2,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,XMB/TBA variants,UNKNOWN,archived,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reject,notes only
v20_gprd_agree_seed1_stage2only,v20,2026-06-29,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD agree,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0629/log_sysu_v20_gprd_agree_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v21_gprd_conflict_seed1_stage2only,v21,2026-06-30,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD conflict,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0630/log_sysu_v21_gprd_conflict_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v22_gprd_conflict_e50_seed1_stage2only,v22,2026-06-30,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD conflict e50,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0630/log_sysu_v22_gprd_conflict_e50_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v23_gprd_agree_decay_seed1_stage2only,v23,2026-06-30,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD agree decay,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0630/log_sysu_v23_gprd_agree_decay_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v24_gprd_adapt_seed1_stage2only,v24,2026-06-30,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD adapt,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0630/log_sysu_v24_gprd_adapt_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
